"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1950-12-01T06:00:00.000Z","19.66","20.43","19.00","20.43","4.72","4.09","55,270,000"
"1951-01-02T06:00:00.000Z","20.77","21.74","20.69","21.66","6.02","5.40","65,420,000"
"1951-02-01T06:00:00.000Z","21.77","22.20","21.76","21.80","0.65","0.02","37,260,000"
"1951-03-01T06:00:00.000Z","21.85","21.95","21.25","21.48","-1.47","-2.09","32,430,000"
"1951-04-02T06:00:00.000Z","21.32","22.43","21.26","22.43","4.42","3.80","31,750,000"
"1951-05-01T05:00:00.000Z","22.53","22.81","21.03","21.52","-4.06","-4.68","36,170,000"
"1951-06-01T05:00:00.000Z","21.48","22.05","20.96","20.96","-2.60","-3.23","36,220,000"
"1951-07-02T05:00:00.000Z","21.10","22.63","21.10","22.40","6.87","6.25","27,990,000"
"1951-08-01T05:00:00.000Z","22.51","23.28","22.51","23.28","3.93","3.31","33,630,000"
"1951-09-04T05:00:00.000Z","23.28","23.71","23.26","23.26","-0.09","-0.71","36,420,000"
"1951-10-01T06:00:00.000Z","23.47","23.85","22.66","22.94","-1.38","-2.00","39,250,000"
"1951-11-01T06:00:00.000Z","23.10","23.10","22.40","22.88","-0.26","-0.88","23,580,000"
"1951-12-03T06:00:00.000Z","23.01","23.77","23.01","23.77","3.89","3.27","27,560,000"
"1952-01-02T06:00:00.000Z","23.80","24.66","23.74","24.14","1.56","0.93","34,520,000"
"1952-02-01T06:00:00.000Z","24.30","24.30","23.09","23.26","-3.65","-4.27","25,180,000"
"1952-03-03T06:00:00.000Z","23.29","24.37","23.29","24.37","4.77","4.15","26,580,000"
"1952-04-01T06:00:00.000Z","24.18","24.18","23.32","23.32","-4.31","-4.93","27,060,000"
"1952-05-01T05:00:00.000Z","23.17","23.94","23.17","23.86","2.32","1.69","22,450,000"
"1952-06-02T05:00:00.000Z","23.80","24.96","23.78","24.96","4.61","3.99","25,530,000"
"1952-07-01T05:00:00.000Z","25.12","25.40","24.81","25.40","1.76","1.14","24,100,000"
"1952-08-01T05:00:00.000Z","25.45","25.55","24.83","25.03","-1.46","-2.08","20,890,000"
"1952-09-02T05:00:00.000Z","25.15","25.25","24.45","24.54","-1.96","-2.58","24,100,000"
"1952-10-01T06:00:00.000Z","24.48","24.58","23.80","24.52","-0.08","-0.70","25,940,000"
"1952-11-03T06:00:00.000Z","24.60","25.66","24.60","25.66","4.65","4.03","30,210,000"
"1952-12-01T06:00:00.000Z","25.68","26.59","25.61","26.57","3.55","2.92","40,480,000"
"1953-01-02T06:00:00.000Z","26.54","26.66","25.86","26.38","-0.72","-1.34","34,060,000"
"1953-02-02T06:00:00.000Z","26.51","26.54","25.48","25.90","-1.82","-2.44","30,170,000"
"1953-03-02T06:00:00.000Z","25.93","26.33","25.29","25.29","-2.36","-2.98","42,510,000"
"1953-04-01T06:00:00.000Z","25.25","25.25","24.19","24.62","-2.65","-3.27","34,370,000"
"1953-05-01T05:00:00.000Z","24.73","25.06","24.46","24.54","-0.32","-0.95","25,730,000"
"1953-06-01T05:00:00.000Z","24.15","24.22","23.54","24.14","-1.63","-2.25","26,080,000"
